post_date,post_count,n_image_only,avg_upvotes,max_upvotes,total_upvotes,avg_reblogs,total_reblogs,avg_replies,n_quotes,n_with_link,avg_text_len
2026-03-16,17,3,20776.8,52103,353205,5034.0,85578,1846.5,1,7,779.5
2026-03-17,6,1,28338.5,49750,170031,7220.8,43325,4424.7,0,1,551.4
2026-03-18,20,9,20284.4,33543,405687,5178.6,103573,1365.1,1,3,173.5
2026-03-19,19,2,18604.2,31574,353480,4799.1,91182,1295.2,0,13,271.6
2026-03-20,7,1,34861.1,56065,244028,9015.9,63111,3879.7,0,0,706.3
2026-03-21,8,0,38734.0,62640,309872,9159.1,73273,5249.6,0,0,469.0
2026-03-22,14,2,25123.9,37963,351735,7174.1,100437,1849.9,1,6,239.0
2026-03-23,20,10,19092.4,46345,381848,4958.0,99160,1532.0,0,5,470.2
2026-03-24,24,2,12925.2,34947,310205,2983.4,71602,565.9,1,0,1033.4
2026-03-25,15,2,25409.0,43338,381135,6355.5,95333,1916.2,0,5,422.2
2026-03-26,12,0,33330.8,55319,399970,8292.4,99509,3184.8,0,3,334.3
2026-03-27,5,0,26263.0,35099,131315,6843.8,34219,3098.2,0,3,196.6
2026-03-28,5,0,24769.0,50392,123845,5922.2,29611,2205.2,0,2,181.6
2026-03-29,11,7,19496.4,49957,214460,4964.7,54612,1510.9,3,0,127.0
2026-03-30,20,3,22624.4,59471,452489,4957.6,99153,1358.8,0,8,263.7
2026-03-31,16,7,29743.1,62118,475890,6768.7,108299,2602.6,0,1,572.7
2026-04-01,11,2,23947.7,50131,263425,5401.9,59421,1923.5,0,0,737.2
2026-04-02,14,3,27393.6,52460,383511,6269.6,87775,2943.7,0,4,402.5
2026-04-03,7,1,37092.1,56393,259645,8148.6,57040,4809.6,0,0,284.8
2026-04-04,12,4,32612.4,49391,391349,6885.0,82620,2558.6,0,1,254.4
2026-04-05,10,3,37613.0,88290,376130,9142.1,91421,5152.6,3,0,433.9
2026-04-06,13,3,21289.2,35673,276760,5418.1,70435,1640.8,2,4,216.3
2026-04-07,41,4,15274.6,66283,626257,3451.2,141499,1397.2,0,3,863.9
2026-04-08,11,1,34708.2,61205,381790,7957.5,87533,3944.2,0,2,401.7
2026-04-09,13,1,25434.9,51817,330654,6165.3,80149,3528.0,0,1,807.8
2026-04-10,3,0,6109.0,6983,18327,1459.3,4378,512.0,0,3,206.7
